image_id,status,body,target_meta,timestamp_utc,predicted_range_km,true_range_km,relative_range_error,angular_center_error_arcsec,note
co-iss-n1458349882,REFUSED,,Mimas,2004-03-19T00:48:05.734,,,,,
co-iss-n1459595749,REFUSED,,Prometheus,2004-04-02T10:52:24.094,,,,,
co-iss-n1459605008,REFUSED,,Saturn Rings,2004-04-02T13:25:57.698,,,,,
co-iss-n1459727015,DEGRADED,saturn_rings,Saturn Rings,2004-04-03T23:20:09.099,75519999.649253,44124715.181,0.711512,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1459727048,DEGRADED,saturn_rings,Saturn Rings,2004-04-03T23:20:42.243,80459356.550652,44124536.571,0.823461,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1459727088,DEGRADED,saturn_rings,Saturn Rings,2004-04-03T23:21:19.131,82446011.291263,44124337.785,0.868493,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1459727128,DEGRADED,saturn_rings,Saturn Rings,2004-04-03T23:22:00.330,77652629.042989,44124115.768,0.759868,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1459803935,DEGRADED,saturn_rings,Saturn Rings,2004-04-04T20:38:29.422,92202953.467966,43711325.390,1.109361,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1459803991,REFUSED,,Saturn Rings,2004-04-04T20:42:33.430,,,,,
co-iss-n1459805431,REFUSED,,Saturn Rings,2004-04-04T21:03:25.401,,,,,
co-iss-n1459806039,DEGRADED,saturn_rings,Saturn Rings,2004-04-04T21:15:33.397,94247780.141587,43699337.208,1.156732,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1459808886,REFUSED,,Saturn Rings,2004-04-04T22:04:40.126,,,,,
co-iss-n1459823196,DEGRADED,saturn_rings,Epimetheus,2004-04-05T02:03:09.613,74437704.163001,43606315.797,0.707040,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1459828326,DEGRADED,saturn_rings,Saturn Rings,2004-04-05T03:28:39.984,71807794.321128,43578659.000,0.647774,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1459878186,REFUSED,,Saturn Rings,2004-04-05T17:19:39.675,,,,,
co-iss-n1460273634,NOMINAL,titan,Titan,2004-04-10T07:09:47.355,27735795.698925,41735683.262,0.335442,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1460285049,DEGRADED,saturn_rings,Pandora,2004-04-10T10:20:39.605,69875741.079767,41114802.811,0.699528,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1460625337,REFUSED,,Titan,2004-04-14T08:52:05.809,,,,,
co-iss-n1461313661,REFUSED,,Mimas,2004-04-22T08:04:05.466,,,,,
co-iss-n1463011407,DEGRADED,saturn_rings,Janus,2004-05-11T23:39:39.848,58215246.843141,26278011.240,1.215360,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1463331415,REFUSED,,Iapetus,2004-05-15T16:33:06.324,,,,,
co-iss-n1463628417,REFUSED,,Enceladus,2004-05-19T03:03:06.450,,,,,
co-iss-n1463734497,REFUSED,,Rhea,2004-05-20T08:31:05.739,,,,,
co-iss-n1464507171,REFUSED,,Atlas,2004-05-29T07:08:54.106,,,,,
co-iss-n1464548523,REFUSED,,Dione,2004-05-29T18:38:06.437,,,,,
co-iss-n1464874625,REFUSED,,Iapetus,2004-06-02T13:13:06.273,,,,,
co-iss-n1465024225,REFUSED,,Dione,2004-06-04T06:46:24.739,,,,,
co-iss-n1465737790,DEGRADED,titan,Rhea,2004-06-12T12:59:05.691,29648609.195402,11787112.461,1.515341,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1466445929,NOMINAL,tethys,Tethys,2004-06-20T17:41:19.159,4792914.342342,6521433.089,0.265052,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1466445948,NOMINAL,tethys,Tethys,2004-06-20T17:41:38.943,4926050.851852,6521177.675,0.244607,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1466445967,NOMINAL,tethys,Tethys,2004-06-20T17:41:57.903,4926050.851852,6520933.023,0.244579,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1466445987,NOMINAL,tethys,Tethys,2004-06-20T17:42:17.350,4792914.342342,6520682.213,0.264967,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1466446025,NOMINAL,tethys,Tethys,2004-06-20T17:42:55.354,4926050.851852,6520192.441,0.244493,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1466514752,REFUSED,,Enceladus,2004-06-21T12:48:20.762,,,,,
co-iss-n1469848237,REFUSED,,Enceladus,2004-07-30T02:46:05.940,,,,,
co-iss-n1470494381,REFUSED,,Enceladus,2004-08-06T14:15:05.732,,,,,
co-iss-n1474254737,REFUSED,,Saturn,2004-09-19T02:47:02.285,,,,,
co-iss-n1474255052,NOMINAL,saturn,Saturn,2004-09-19T02:52:22.318,20275286.288213,8280314.014,1.448613,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1474255494,NOMINAL,saturn,Saturn,2004-09-19T02:59:32.291,37976636.278071,8279946.294,3.586580,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1474259673,REFUSED,,Saturn,2004-09-19T04:09:25.072,,,,,
co-iss-n1474260452,NOMINAL,saturn,Saturn,2004-09-19T04:22:22.283,19942561.796469,8275689.256,1.409777,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1476593665,REFUSED,,Prometheus,2004-10-16T04:29:09.336,,,,,
co-iss-n1478411947,REFUSED,,Calypso,2004-11-06T05:33:39.470,,,,,
co-iss-n1479721530,REFUSED,,Telesto,2004-11-21T09:19:53.923,,,,,
co-iss-n1479723600,REFUSED,,Helene,2004-11-21T09:54:23.910,,,,,
co-iss-n1488887385,REFUSED,,Pan,2005-03-07T11:23:09.428,,,,,
co-iss-n1496908032,REFUSED,,Polydeuces,2005-06-08T07:19:43.774,,,,,
co-iss-n1501557414,REFUSED,,Pallene,2005-08-01T02:48:55.445,,,,,
co-iss-n1503914274,REFUSED,,Methone,2005-08-28T09:29:42.851,,,,,
co-iss-n1520601463,REFUSED,,Saturn,2006-03-09T12:47:43.437,,,,,
co-iss-n1520601919,NOMINAL,saturn,Saturn,2006-03-09T12:55:12.207,75953317.201537,2915689.583,25.049864,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1520603948,NOMINAL,saturn,Saturn,2006-03-09T13:29:08.402,18988273.493615,2915421.795,5.513045,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1520604644,NOMINAL,saturn,Saturn,2006-03-09T13:40:41.598,76251173.463918,2915327.037,25.155273,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1521540615,REFUSED,,Daphnis,2006-03-20T09:40:10.405,,,,,
co-iss-n1521540651,REFUSED,,Daphnis,2006-03-20T09:40:46.389,,,,,
co-iss-n1521540684,REFUSED,,Daphnis,2006-03-20T09:41:19.389,,,,,
co-iss-n1521540724,REFUSED,,Daphnis,2006-03-20T09:41:59.389,,,,,
co-iss-n1542051156,REFUSED,,Saturn Rings,2006-11-12T19:00:20.356,,,,,
co-iss-n1542069846,REFUSED,,Saturn Rings,2006-11-13T00:11:50.277,,,,,
co-iss-n1554021811,REFUSED,,Pluto,2007-03-31T08:09:13.760,,,,,
co-iss-n1557224116,REFUSED,,Skathi,2007-05-07T09:40:02.480,,,,,
co-iss-n1557225940,REFUSED,,Mundilfari,2007-05-07T10:10:26.453,,,,,
co-iss-n1557228653,REFUSED,,Kiviuq,2007-05-07T10:55:39.436,,,,,
co-iss-n1557228849,REFUSED,,Kiviuq,2007-05-07T10:58:55.435,,,,,
co-iss-n1557900912,REFUSED,,Ijiraq,2007-05-15T05:39:54.187,,,,,
co-iss-n1558092237,REFUSED,,Bestla,2007-05-17T10:48:37.979,,,,,
co-iss-n1558092335,REFUSED,,Bestla,2007-05-17T10:50:15.979,,,,,
co-iss-n1559278887,REFUSED,,Fornjot,2007-05-31T04:26:00.454,,,,,
co-iss-n1559471068,REFUSED,,Siarnaq,2007-06-02T09:49:00.272,,,,,
co-iss-n1559472117,REFUSED,,Siarnaq,2007-06-02T10:06:29.230,,,,,
co-iss-n1559769392,REFUSED,,Paaliaq,2007-06-05T20:41:02.348,,,,,
co-iss-n1559969027,REFUSED,,S/2004 S 13,2007-06-08T04:08:16.115,,,,,
co-iss-n1559969321,REFUSED,,S/2004 S 13,2007-06-08T04:13:10.113,,,,,
co-iss-n1559969719,REFUSED,,S/2004 S 13,2007-06-08T04:19:48.119,,,,,
co-iss-n1559970441,REFUSED,,Hati,2007-06-08T04:31:50.087,,,,,
co-iss-n1561405712,REFUSED,,Tarvos,2007-06-24T19:12:51.987,,,,,
co-iss-n1561406104,REFUSED,,Tarvos,2007-06-24T19:19:23.992,,,,,
co-iss-n1562857683,REFUSED,,Erriapus,2007-07-11T14:32:13.809,,,,,
co-iss-n1565237024,NOMINAL,saturn,Saturn,2007-08-08T03:28:59.727,38733144.151058,4147698.009,8.338468,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1565241108,REFUSED,,Saturn,2007-08-08T04:37:03.701,,,,,
co-iss-n1565246516,REFUSED,,Saturn,2007-08-08T06:07:11.667,,,,,
co-iss-n1574794592,REFUSED,,Erriapus,2007-11-26T18:19:24.094,,,,,
co-iss-n1574852987,REFUSED,,Ymir,2007-11-27T10:32:38.631,,,,,
co-iss-n1574853809,REFUSED,,Ymir,2007-11-27T10:46:20.644,,,,,
co-iss-n1575064459,REFUSED,,Paaliaq,2007-11-29T21:17:09.129,,,,,
co-iss-n1575551438,DEGRADED,io,Titan,2007-12-05T12:34:08.696,1190301.192091,1878531845.295,0.999366,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1575551688,DEGRADED,io,Titan,2007-12-05T12:38:24.698,2180086.890496,1878533818.970,0.998839,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1575553785,DEGRADED,saturn,Titan,2007-12-05T13:13:35.683,38351159.902476,1399523.197,26.403018,,;pxform_fail:SpiceNOFRAMECONNECT
co-iss-n1577398802,REFUSED,,Kiviuq,2007-12-26T21:42:35.671,,,,,
co-iss-n1577457495,REFUSED,,Anthe,2007-12-27T14:02:09.584,,,,,
co-iss-n1577457538,REFUSED,,Anthe,2007-12-27T14:02:53.128,,,,,
co-iss-n1579169483,REFUSED,,Saturn Rings,2008-01-16T09:35:05.893,,,,,
co-iss-n1596022242,REFUSED,,Saturn Rings,2008-07-29T10:52:26.272,,,,,
co-iss-n1596022302,REFUSED,,Saturn Rings,2008-07-29T10:53:26.271,,,,,
co-iss-n1596022347,REFUSED,,Saturn Rings,2008-07-29T10:54:11.271,,,,,
co-iss-n1596022407,REFUSED,,Saturn Rings,2008-07-29T10:55:11.270,,,,,
co-iss-n1596022452,REFUSED,,Saturn Rings,2008-07-29T10:55:56.270,,,,,
co-iss-n1596022512,REFUSED,,Saturn Rings,2008-07-29T10:56:56.270,,,,,
co-iss-n1610125007,REFUSED,,Suttungr,2009-01-08T16:16:44.987,,,,,
co-iss-n1617662998,REFUSED,,Thrymr,2009-04-05T22:07:45.984,,,,,
